speed	time
5	"2016-04-15 12:20:09,004"
3	"2016-04-15 12:20:10,009"
0	"2016-04-15 12:20:11,006"
0	"2016-04-15 12:20:12,012"
0	"2016-04-15 12:20:13,003"
0	"2016-04-15 12:20:14,034"
0	"2016-04-15 12:20:15,032"
0	"2016-04-15 12:20:16,011"
0	"2016-04-15 12:20:17,030"
0	"2016-04-15 12:20:18,014"
0	"2016-04-15 12:20:19,012"
0	"2016-04-15 12:20:20,033"
0	"2016-04-15 12:20:21,046"
3	"2016-04-15 12:20:22,023"
7	"2016-04-15 12:20:23,023"
13	"2016-04-15 12:20:24,022"
18	"2016-04-15 12:20:25,044"
18	"2016-04-15 12:20:26,030"
20	"2016-04-15 12:20:27,003"
21	"2016-04-15 12:20:28,030"
23	"2016-04-15 12:20:29,003"
25	"2016-04-15 12:20:30,014"
28	"2016-04-15 12:20:31,022"
32	"2016-04-15 12:20:32,029"
37	"2016-04-15 12:20:33,022"
39	"2016-04-15 12:20:34,030"
41	"2016-04-15 12:20:35,033"
41	"2016-04-15 12:20:36,039"
40	"2016-04-15 12:20:37,039"
41	"2016-04-15 12:20:38,048"
41	"2016-04-15 12:20:39,024"
41	"2016-04-15 12:20:40,029"
40	"2016-04-15 12:20:41,040"
40	"2016-04-15 12:20:42,064"
39	"2016-04-15 12:20:43,072"
38	"2016-04-15 12:20:44,039"
37	"2016-04-15 12:20:45,076"
35	"2016-04-15 12:20:46,069"
34	"2016-04-15 12:20:47,079"
32	"2016-04-15 12:20:48,041"
31	"2016-04-15 12:20:49,071"
31	"2016-04-15 12:20:50,051"
31	"2016-04-15 12:20:51,069"
33	"2016-04-15 12:20:52,101"
34	"2016-04-15 12:20:53,084"
36	"2016-04-15 12:20:54,081"
35	"2016-04-15 12:20:55,077"
36	"2016-04-15 12:20:56,067"
38	"2016-04-15 12:20:57,063"
40	"2016-04-15 12:20:58,086"
42	"2016-04-15 12:20:59,071"
42	"2016-04-15 12:21:00,110"
42	"2016-04-15 12:21:01,099"
42	"2016-04-15 12:21:02,081"
42	"2016-04-15 12:21:03,081"
43	"2016-04-15 12:21:04,076"
42	"2016-04-15 12:21:05,079"
41	"2016-04-15 12:21:06,070"
39	"2016-04-15 12:21:07,071"
38	"2016-04-15 12:21:08,071"
33	"2016-04-15 12:21:09,129"
30	"2016-04-15 12:21:10,099"
29	"2016-04-15 12:21:11,099"
28	"2016-04-15 12:21:12,108"
26	"2016-04-15 12:21:13,098"
25	"2016-04-15 12:21:14,082"
24	"2016-04-15 12:21:15,075"
23	"2016-04-15 12:21:16,071"
19	"2016-04-15 12:21:17,072"
15	"2016-04-15 12:21:18,100"
11	"2016-04-15 12:21:19,071"
9	"2016-04-15 12:21:20,081"
9	"2016-04-15 12:21:21,109"
12	"2016-04-15 12:21:22,094"
16	"2016-04-15 12:21:23,087"
20	"2016-04-15 12:21:24,116"
22	"2016-04-15 12:21:25,088"
23	"2016-04-15 12:21:26,107"
22	"2016-04-15 12:21:27,115"
21	"2016-04-15 12:21:28,119"
19	"2016-04-15 12:21:29,118"
15	"2016-04-15 12:21:30,128"
12	"2016-04-15 12:21:31,118"
8	"2016-04-15 12:21:32,108"
3	"2016-04-15 12:21:33,115"
0	"2016-04-15 12:21:34,128"
0	"2016-04-15 12:21:35,147"
0	"2016-04-15 12:21:36,126"
0	"2016-04-15 12:21:37,120"
1	"2016-04-15 12:21:38,147"
2	"2016-04-15 12:21:39,128"
3	"2016-04-15 12:21:40,137"
3	"2016-04-15 12:21:41,166"
5	"2016-04-15 12:21:42,144"
5	"2016-04-15 12:21:43,178"
5	"2016-04-15 12:21:44,200"
4	"2016-04-15 12:21:45,159"
4	"2016-04-15 12:21:46,175"
4	"2016-04-15 12:21:47,166"
4	"2016-04-15 12:21:48,158"
4	"2016-04-15 12:21:49,161"
3	"2016-04-15 12:21:50,158"
1	"2016-04-15 12:21:51,174"
1	"2016-04-15 12:21:52,169"
0	"2016-04-15 12:21:53,167"
0	"2016-04-15 12:21:54,149"
0	"2016-04-15 12:21:55,164"
0	"2016-04-15 12:21:56,163"
0	"2016-04-15 12:21:57,155"
0	"2016-04-15 12:21:58,189"
0	"2016-04-15 12:21:59,166"
0	"2016-04-15 12:22:00,179"
0	"2016-04-15 12:22:01,175"
0	"2016-04-15 12:22:02,167"
0	"2016-04-15 12:22:03,179"
0	"2016-04-15 12:22:04,174"
0	"2016-04-15 12:22:05,207"
0	"2016-04-15 12:22:06,195"
1	"2016-04-15 12:22:07,187"
4	"2016-04-15 12:22:08,193"
9	"2016-04-15 12:22:09,167"
14	"2016-04-15 12:22:10,205"
17	"2016-04-15 12:22:11,198"
21	"2016-04-15 12:22:12,195"
26	"2016-04-15 12:22:13,199"
32	"2016-04-15 12:22:14,207"
38	"2016-04-15 12:22:15,207"
43	"2016-04-15 12:22:16,208"
46	"2016-04-15 12:22:17,217"
45	"2016-04-15 12:22:18,237"
45	"2016-04-15 12:22:19,238"
46	"2016-04-15 12:22:20,236"
47	"2016-04-15 12:22:21,247"
48	"2016-04-15 12:22:22,228"
50	"2016-04-15 12:22:23,216"
50	"2016-04-15 12:22:24,215"
52	"2016-04-15 12:22:25,217"
54	"2016-04-15 12:22:26,207"
57	"2016-04-15 12:22:27,207"
59	"2016-04-15 12:22:28,207"
58	"2016-04-15 12:22:29,226"
56	"2016-04-15 12:22:30,248"
56	"2016-04-15 12:22:31,239"
54	"2016-04-15 12:22:32,210"
53	"2016-04-15 12:22:33,264"
53	"2016-04-15 12:22:34,255"
54	"2016-04-15 12:22:35,238"
56	"2016-04-15 12:22:36,279"
56	"2016-04-15 12:22:37,252"
55	"2016-04-15 12:22:38,282"
53	"2016-04-15 12:22:39,280"
52	"2016-04-15 12:22:40,297"
52	"2016-04-15 12:22:41,279"
52	"2016-04-15 12:22:42,311"
51	"2016-04-15 12:22:43,289"
50	"2016-04-15 12:22:44,280"
49	"2016-04-15 12:22:45,279"
48	"2016-04-15 12:22:46,291"
48	"2016-04-15 12:22:47,309"
49	"2016-04-15 12:22:48,309"
48	"2016-04-15 12:22:49,291"
48	"2016-04-15 12:22:50,310"
48	"2016-04-15 12:22:51,301"
48	"2016-04-15 12:22:52,310"
47	"2016-04-15 12:22:53,330"
46	"2016-04-15 12:22:54,332"
45	"2016-04-15 12:22:55,352"
45	"2016-04-15 12:22:56,310"
46	"2016-04-15 12:22:57,310"
50	"2016-04-15 12:22:58,340"
53	"2016-04-15 12:22:59,350"
51	"2016-04-15 12:23:00,365"
50	"2016-04-15 12:23:01,333"
47	"2016-04-15 12:23:02,350"
46	"2016-04-15 12:23:03,380"
44	"2016-04-15 12:23:04,362"
44	"2016-04-15 12:23:05,340"
45	"2016-04-15 12:23:06,349"
47	"2016-04-15 12:23:07,341"
49	"2016-04-15 12:23:08,370"
53	"2016-04-15 12:23:09,351"
54	"2016-04-15 12:23:10,372"
55	"2016-04-15 12:23:11,360"
55	"2016-04-15 12:23:12,362"
57	"2016-04-15 12:23:13,368"
60	"2016-04-15 12:23:14,371"
61	"2016-04-15 12:23:15,352"
61	"2016-04-15 12:23:16,371"
62	"2016-04-15 12:23:17,370"
63	"2016-04-15 12:23:18,400"
65	"2016-04-15 12:23:19,361"
66	"2016-04-15 12:23:20,371"
67	"2016-04-15 12:23:21,392"
66	"2016-04-15 12:23:22,351"
66	"2016-04-15 12:23:23,369"
65	"2016-04-15 12:23:24,371"
66	"2016-04-15 12:23:25,379"
67	"2016-04-15 12:23:26,371"
68	"2016-04-15 12:23:27,362"
69	"2016-04-15 12:23:28,370"
70	"2016-04-15 12:23:29,382"
71	"2016-04-15 12:23:30,367"
72	"2016-04-15 12:23:31,381"
72	"2016-04-15 12:23:32,371"
70	"2016-04-15 12:23:33,391"
69	"2016-04-15 12:23:34,401"
70	"2016-04-15 12:23:35,381"
70	"2016-04-15 12:23:36,382"
70	"2016-04-15 12:23:37,389"
70	"2016-04-15 12:23:38,371"
71	"2016-04-15 12:23:39,383"
69	"2016-04-15 12:23:40,387"
67	"2016-04-15 12:23:41,423"
66	"2016-04-15 12:23:42,410"
64	"2016-04-15 12:23:43,397"
63	"2016-04-15 12:23:44,411"
61	"2016-04-15 12:23:45,391"
60	"2016-04-15 12:23:46,423"
58	"2016-04-15 12:23:47,411"
59	"2016-04-15 12:23:48,423"
60	"2016-04-15 12:23:49,411"
62	"2016-04-15 12:23:50,413"
64	"2016-04-15 12:23:51,441"
65	"2016-04-15 12:23:52,437"
64	"2016-04-15 12:23:53,436"
63	"2016-04-15 12:23:54,437"
63	"2016-04-15 12:23:55,478"
65	"2016-04-15 12:23:56,447"
68	"2016-04-15 12:23:57,476"
70	"2016-04-15 12:23:58,494"
72	"2016-04-15 12:23:59,489"
74	"2016-04-15 12:24:00,477"
75	"2016-04-15 12:24:01,475"
76	"2016-04-15 12:24:02,486"
77	"2016-04-15 12:24:03,487"
78	"2016-04-15 12:24:04,481"
79	"2016-04-15 12:24:05,485"
80	"2016-04-15 12:24:06,465"
81	"2016-04-15 12:24:07,477"
81	"2016-04-15 12:24:08,493"
82	"2016-04-15 12:24:09,495"
82	"2016-04-15 12:24:10,496"
82	"2016-04-15 12:24:11,482"
83	"2016-04-15 12:24:12,494"
83	"2016-04-15 12:24:13,486"
83	"2016-04-15 12:24:14,526"
81	"2016-04-15 12:24:15,493"
80	"2016-04-15 12:24:16,513"
78	"2016-04-15 12:24:17,543"
77	"2016-04-15 12:24:18,476"
75	"2016-04-15 12:24:19,484"
75	"2016-04-15 12:24:20,495"
74	"2016-04-15 12:24:21,467"
72	"2016-04-15 12:24:22,520"
70	"2016-04-15 12:24:23,505"
69	"2016-04-15 12:24:24,526"
69	"2016-04-15 12:24:25,486"
